pat_date	pat_userid	pat_num_actions
2012-10-30	6013591	2
2012-10-30	6239596	2
2012-10-30	6959733	1
2012-10-30	8043052	37
2012-10-30	8786164	11
2012-10-30	9951654	2
2012-10-30	10718199	3
2012-10-30	11393832	10
2012-10-30	12493580	7
2012-10-30	13224898	9
2012-10-30	14159121	1
2012-10-30	15722418	4
2012-10-30	15799856	10
2012-10-30	16423038	2
2012-10-30	16608544	51
2012-10-30	16682238	72
2012-10-30	17692328	1
2012-10-31	79	6
2012-10-31	59944	1
2012-10-31	210954	10
2012-10-31	262675	1
2012-10-31	398051	11
2012-10-31	920547	7
2012-10-31	1378652	3
2012-10-31	1957748	2
2012-10-31	2512606	3
2012-10-31	4174864	1
2012-10-31	4754841	1
2012-10-31	4849142	5
2012-10-31	4850051	6
2012-10-31	5311630	64
2012-10-31	5347098	19
2012-10-31	7213284	1
2012-10-31	7304264	3
